City Claim #,Date Of Accident,Claim Status,Last Close Date,Dept/division,Category,Cause,NOC Demand,Paid Bi,Paid Pd
15-0608-003,10/4/2015,F,4/13/2018,Police- Cactus Park Precinct 900,Police Vehicle,U-Turn,"350,000.00","80,000.00",0.00
15-0609-001,1/7/2016,F,6/18/2019,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"5,500,000.00","290,000.00","4,042.71"
15-0609-002,1/7/2016,F,9/27/2017,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"1,500,000.00",0.00,0.00
15-0609-003,1/7/2016,F,6/23/2016,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"200,000.00",0.00,0.00
15-0609-004,1/7/2016,F,6/23/2016,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"200,000.00",0.00,0.00
15-0609-005,1/7/2016,F,6/23/2016,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"200,000.00",0.00,0.00
15-0609-006,1/7/2016,F,6/23/2016,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"200,000.00",0.00,0.00
15-0610-001,8/15/2015,F,1/22/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Fall Inside Vehicle,"50,000.00",0.00,0.00
15-0611-001,1/13/2016,F,6/7/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"1,571.39",0.00,"1,571.39"
15-0611-002,1/13/2016,F,2/29/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"1,100.00",0.00,0.00
15-0612-001,1/14/2016,F,2/22/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,252.11,0.00,0.00
15-0613-001,1/11/2016,F,5/18/2017,Pub Wks- Solid Waste Field Services Sout,Operations,Damage by Mobile Equipment,477.00,0.00,477.00
15-0614-001,9/7/2015,F,6/1/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Mechanical Failure,"2,740.88",0.00,869.24
15-0615-001,7/23/2015,F,1/22/2016,Non-City Claim,Other Entity,Non-City,"150,000.00",0.00,0.00
15-0616-001,1/6/2016,F,1/25/2016,Street- Southwest Maint Dist,Operations,Pot Hole,418.84,0.00,0.00
15-0617-001,11/2/2015,F,1/29/2016,Pub Wks- Solid Waste Field Services West,Operations,Damage by Mobile Equipment,"1,250.00",0.00,0.00
15-0618-001,10/1/2015,F,2/22/2016,Street- Southwest Maint Dist,Operations,Pot Hole,217.61,0.00,217.61
15-0619-001,8/7/2015,F,1/27/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Door Close on Claimant,"210,000.00",0.00,0.00
15-0620-001,1/26/2016,F,9/27/2016,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,688.80
15-0620-002,1/26/2016,F,6/8/2016,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,464.60
15-0620-003,1/26/2016,F,3/4/2016,Water Distrib - Morten Yard,Operations,Water Main Break,,0.00,409.32
15-0621-001,1/8/2016,F,2/22/2016,Street- Southwest Maint Dist,Operations,Pot Hole,135.00,0.00,89.00
15-0622-001,12/7/2015,F,4/27/2016,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,633.56,0.00,633.56
15-0623-001,7/31/2015,F,4/13/2018,Housing-Senior Hous/Scattered Sites/Sec,Premises,Maint. Building/Premises,"600,000.00","150,000.00",0.00
15-0624-001,7/31/2015,F,9/19/2016,Street-Planning-Design & Prog-Street Lit,Professional E&O,Negligent Design,"2,500,000.00",0.00,0.00
15-0624-002,7/31/2015,F,1/27/2016,Street-Planning-Design & Prog-Street Lit,Professional E&O,Negligent Design,"200,000.00",0.00,0.00
15-0625-001,1/24/2016,F,4/6/2016,Unknown Dept/Temporary Use Only,Light Truck,Struck Fixed Object,"1,500.00",0.00,0.00
15-0626-001,11/30/2015,F,4/27/2016,Street- Southwest Maint Dist,Operations,Debris/Object in Road,"10,114.03","10,114.03",0.00
15-0627-001,12/30/2015,F,2/4/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,500.00,0.00,500.00
15-0629-001,12/22/2015,F,4/19/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. of Equipment,500.00,0.00,0.00
15-0630-001,12/17/2015,F,2/1/2016,Water Distrib - Corona Yard,Operations,Construction Area,350.00,0.00,0.00
15-0631-001,1/21/2016,F,2/24/2016,Pub Wks- Solid Waste Field Services East,Premises,Maint. Building/Premises,39.20,0.00,0.00
15-0632-001,8/2/2015,F,7/22/2016,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","40,000.00","11,500.00",0.00
15-0633-001,1/13/2016,F,3/15/2016,WSD- Wtr Customer Svcs/Meter Shop,Operations,Water Service Related,60.51,0.00,0.00
15-0634-001,1/21/2016,F,2/9/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,400.00,0.00,400.00
15-0635-001,12/19/2015,F,5/18/2017,Street- Southwest Maint Dist,Operations,Pot Hole,"4,000.00",0.00,0.00
15-0636-001,1/8/2016,F,1/29/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"3,384.55",0.00,0.00
15-0636-002,1/8/2016,F,2/22/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"3,049.89",0.00,"3,049.89"
15-0637-001,8/3/2015,F,2/1/2016,Fire- Admin/EMS/CAD-Alarm/Safety,Professional E&O,Improper Medical Care,,0.00,0.00
15-0637-002,8/3/2015,F,2/1/2016,Fire- Admin/EMS/CAD-Alarm/Safety,Professional E&O,Improper Medical Care,"20,000,000.00",0.00,0.00
15-0637-003,8/3/2015,F,6/30/2016,Fire- Admin/EMS/CAD-Alarm/Safety,Professional E&O,Improper Medical Care,"20,000,000.00",0.00,0.00
15-0638-001,1/15/2016,F,2/3/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"1,194.00",0.00,0.00
15-0639-001,10/2/2015,F,3/16/2016,Police- S. Mountain Precinct 400,Law Enforcement,Violate Civil Rights,"7,500,000,000.00",0.00,0.00
15-0640-001,1/25/2016,F,4/14/2016,Fire-Fire Prevention/Resource Mgt/Haz Ma,Sedan,Rear End,"4,836.00",0.00,"3,188.59"
15-0641-001,11/23/2015,F,2/8/2016,Street- Southwest Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,960.00",0.00,0.00
15-0642-001,1/11/2016,F,2/3/2016,Pub Wks- Solid Waste Field Services East,Operations,Damage to Property/Injury to Persons,"1,023.49",0.00,0.00
15-0643-001,1/7/2016,F,3/16/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,300.00,0.00,300.00
15-0645-001,1/8/2016,F,2/4/2016,Street- North Maint Dist,Operations,Pot Hole,827.10,0.00,0.00
15-0646-001,1/16/2016,F,2/24/2016,Street- Southwest Maint Dist,Operations,Pot Hole,145.00,0.00,0.00
15-0647-001,12/17/2015,F,2/18/2016,Pub Wks- Solid Waste Field Services Sout,Operations,Damage to Property/Injury to Persons,200.00,0.00,0.00
15-0648-001,1/6/2016,F,2/18/2016,Parks- Northeast Division,Premises,Maint. Building/Premises,"7,008.36",0.00,0.00
15-0649-001,12/7/2015,F,3/7/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"3,200.00",0.00,0.00
15-0651-001,1/8/2016,F,3/1/2016,Wastewtr Engineering & Construction Mgt,Operations,Missing/Hit Cover,"2,111.04",0.00,"2,111.04"
15-0652-001,2/1/2016,F,2/29/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"1,500.00",0.00,0.00
15-0653-001,12/17/2015,F,3/4/2016,Pub Wks- Solid Waste Field Services Nort,Operations,Damage by Mobile Equipment,"1,100.00",0.00,250.00
15-0654-001,1/21/2016,F,6/21/2016,Parks- South Division,Light Truck,Turning,"4,120.00",0.00,"2,093.47"
15-0654-002,1/21/2016,F,9/13/2016,Parks- South Division,Light Truck,Turning,"250,000.00","25,000.00",0.00
15-0654-003,1/21/2016,F,8/24/2016,Parks- South Division,Light Truck,Turning,"250,000.00","25,000.00",0.00
15-0654-004,1/21/2016,F,8/4/2016,Parks- South Division,Light Truck,Turning,"5,971.45",0.00,0.00
15-0655-001,12/26/2015,F,2/5/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"2,160.09",0.00,0.00
15-0656-001,2/2/2016,F,3/3/2016,Street- Southwest Maint Dist,Operations,Pot Hole,127.00,0.00,0.00
15-0657-001,2/15/2016,F,4/5/2016,Street- Southwest Maint Dist,Operations,Pot Hole,297.92,0.00,178.75
15-0658-001,7/8/2015,F,7/13/2016,Police- Squaw Peak Precinct 700,Law Enforcement,Excessive Force,,0.00,0.00
15-0659-001,1/6/2016,F,3/8/2016,Street- Southwest Maint Dist,Operations,Pot Hole,481.73,0.00,240.87
15-0660-001,1/19/2016,F,6/17/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,350.00,0.00,60.00
15-0661-001,12/13/2015,F,7/27/2017,Transit- Phoenix Transit-Contract,Bus 21-75,Struck Fixed Object,"2,500,000.00",0.00,0.00
15-0661-002,12/13/2015,F,6/9/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Struck Fixed Object,"10,000,000.00",0.00,0.00
15-0661-003,12/13/2015,F,6/9/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Struck Fixed Object,"10,000,000.00",0.00,0.00
15-0662-001,2/8/2016,F,6/8/2016,Water Distrib - Cave Creek Yard,Operations,Water Main Break,,0.00,"1,704.48"
15-0663-001,8/26/2015,F,2/24/2016,Police- Central City Precinct 500,Law Enforcement,Shooting,"1,200,000.00",0.00,0.00
15-0664-001,12/18/2015,F,3/1/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Backing,685.00,0.00,685.00
15-0666-001,1/14/2016,F,6/16/2017,Human Resources - Admin,Employment,Employment Discrimination,,0.00,0.00
15-0667-001,2/5/2016,F,3/3/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Falling Load/Rock,"1,533.32",0.00,0.00
15-0668-001,10/15/2015,F,5/18/2017,Water Distrib - Cave Creek Yard,Operations,Change Meter,300.00,0.00,300.00
15-0669-001,1/20/2016,F,2/25/2016,Water Distrib - Morten Yard,Operations,Excavation Related,776.09,0.00,776.09
15-0670-001,1/26/2016,F,2/25/2016,Water Distrib -Special Ops/Fire Hydrants,Operations,Excavation Related,350.00,0.00,350.00
15-0671-001,11/5/2015,F,6/14/2016,Street- Southeast Maint Dist,Operations,Damage to Property/Injury to Persons,808.36,400.00,0.00
15-0672-001,1/21/2016,F,3/18/2016,Aviation-Admin/Acctg/Personnel/Bus & Pro,Medium/Heavy,Falling Load/Rock,242.00,0.00,242.00
15-0673-001,1/21/2016,F,3/8/2016,Street- Southwest Maint Dist,Operations,Pot Hole,100.00,0.00,100.00
15-0674-001,9/9/2015,F,2/12/2016,Street- Prev Maint/St Cleaning/Flooding,Operations,Flooding,,0.00,0.00
15-0674-002,9/9/2015,F,2/11/2016,Street- Prev Maint/St Cleaning/Flooding,Operations,Flooding,,0.00,0.00
15-0675-001,10/12/2015,F,3/16/2016,Fire Battalion 5,Fire Apparatus,Lane Change/Pass,"1,569.74",0.00,"1,569.74"
15-0676-001,2/2/2016,F,3/23/2016,Golf - All Golf Courses/Pros/Golf Ball Hits,Premises,Golf Course Related,280.00,0.00,280.00
15-0677-001,8/14/2015,F,8/8/2016,Police- Cactus Park Precinct 900,Police Vehicle,Rear End,"4,766.42",0.00,"4,973.28"
15-0678-001,1/27/2016,F,2/12/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Other,"2,000.00",0.00,0.00
15-0679-001,11/23/2015,F,4/18/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Operations,Sewer Backup,"57,383.40",0.00,0.00
15-0680-001,11/14/2015,F,3/1/2016,Police- Squaw Peak Precinct 700,Law Enforcement,Forced Entry,34.00,0.00,0.00
15-0681-001,1/20/2016,F,2/16/2016,Water Distrib - Corona Yard,Medium/Heavy,Turning,"1,023.50",0.00,"1,023.50"
15-0682-001,8/22/2015,F,2/18/2016,Parks- Downtown Division,Premises,Special Event,"500,000.00",0.00,0.00
15-0683-001,9/10/2015,F,2/22/2016,Water Distrib - Cave Creek Yard,Operations,Change Meter,"1,600.00",0.00,"1,600.00"
15-0684-001,1/28/2016,F,3/24/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,772.68,0.00,772.68
15-0685-001,2/4/2016,F,5/2/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,"1,944.64",0.00,"1,944.64"
15-0687-001,8/24/2015,F,3/2/2016,Transit- Phoenix Transit-Contract,Bus 21-75,Rear End,"60,000.00",0.00,0.00
15-0688-001,9/4/2015,F,3/2/2016,Police- Cactus Park Precinct 900,Law Enforcement,Violate Civil Rights,"1,000,000.00",0.00,0.00
15-0689-001,1/27/2016,F,3/16/2016,Police - Northern Precinct 200,Police Vehicle,Rear End,"1,056.47",0.00,"1,176.47"
15-0690-001,1/28/2016,F,3/3/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,"1,000.00",0.00,0.00
15-0691-001,2/9/2016,F,3/4/2016,Police- Desert Horizon Precinct 600,Motorcycle,Failure to Yield,"2,560.72",0.00,"2,560.72"
15-0692-001,8/25/2015,F,2/19/2016,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Law Enforcement,Shooting,"2,006,000.00",0.00,0.00
15-0692-002,8/25/2015,F,7/18/2016,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Law Enforcement,Shooting,"2,006,000.00",0.00,0.00
15-0693-001,9/9/2015,F,4/21/2016,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","2,631.78",0.00,"2,631.78"
15-0694-001,8/1/2015,F,2/19/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,200.00,0.00,0.00
15-0695-001,8/21/2015,R,6/8/2016,Police- Desert Horizon Precinct 600,Law Enforcement,Excessive Force,"10,000,000.00",0.00,0.00
15-0696-001,1/31/2016,F,2/29/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,900.00,0.00,0.00
15-0697-001,2/5/2016,F,3/2/2016,Pub Wks- Solid Waste Field Services West,Refuse/Garbage,Struck Fixed Object,500.00,0.00,500.00
15-0698-001,12/15/2015,F,4/5/2016,Street- Central Maintenance Dist,Operations,Debris/Object in Road,125.00,0.00,0.00
15-0699-001,1/28/2016,F,3/21/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"2,085.00",0.00,0.00
15-0702-001,2/18/2016,F,4/18/2016,Water Distrib - Cave Creek Yard,Operations,Water Main Break,,0.00,"1,623.38"
15-0702-002,2/18/2016,F,5/19/2016,Water Distrib - 2nd/3rd Shift,Operations,Water Main Break,"4,000.00",0.00,"1,500.00"
15-0703-001,2/18/2016,F,3/8/2016,Street- Southeast Maint Dist,Operations,Pot Hole,429.31,0.00,429.31
15-0704-001,11/17/2015,F,4/22/2016,WSD- Wastewater Collection -  Blue Stake/Sewer Backups,Light Truck,Backing,"3,317.96",0.00,"2,568.04"
15-0706-001,2/8/2016,F,3/30/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,"1,450.00",0.00,"1,200.00"
15-0707-001,2/20/2016,F,3/3/2016,Street- Southeast Maint Dist,Operations,Pot Hole,402.04,0.00,0.00
15-0709-001,7/30/2015,F,3/3/2016,Parks- Northeast Division,Operations,Damage to Property/Injury to Persons,802.00,0.00,0.00
15-0711-001,2/8/2016,F,3/18/2016,Street- North Maint Dist,Operations,Damage by Mobile Equipment,890.33,0.00,890.33
15-0712-001,1/14/2016,F,3/18/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,500.00,0.00,448.75
15-0713-001,1/20/2016,F,3/4/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,"1,336.00",0.00,"1,290.00"
15-0714-001,1/5/2016,F,3/4/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,800.00,0.00,800.00
15-0715-001,2/4/2016,F,3/23/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,76.98,0.00,76.98
15-0716-001,1/8/2016,F,4/19/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,912.11,0.00,0.00
15-0717-001,2/18/2016,F,3/2/2016,Street- Southeast Maint Dist,Operations,Pot Hole,"1,022.87",0.00,0.00
15-0718-001,2/12/2016,F,4/29/2016,Street- Southwest Maint Dist,Operations,Pot Hole,157.00,0.00,157.00
15-0719-001,2/11/2016,F,3/4/2016,Street- Southwest Maint Dist,Operations,Pot Hole,"2,390.08",0.00,0.00
15-0720-001,2/11/2016,F,3/17/2016,Police- Squaw Peak Precinct 700,Law Enforcement,Damage to Property,350.00,0.00,0.00
15-0721-001,1/7/2016,F,3/11/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,325.00,0.00,325.00
15-0722-001,11/18/2015,F,5/19/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,"2,755.60",0.00,"1,350.00"
15-0723-001,2/13/2016,F,6/17/2016,Police- Desert Horizon Precinct 600,Police Vehicle,Turning,"5,000.00",0.00,0.00
15-0724-001,8/31/2015,F,9/30/2016,Housing-Convntl Housing/Modernizatn Prog,Premises,Maint. Building/Premises,"1,500,000.00",0.00,0.00
15-0725-001,2/9/2016,F,5/4/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,100.00,0.00,0.00
15-0726-001,2/26/2016,F,3/15/2016,Planning-Commer Bldg Plan Rev/Insp/Elevatr In,Professional E&O,Negligent Plan Approval,"42,588.23",0.00,0.00
15-0727-001,1/2/2016,F,4/7/2016,Street- Design and Construction Mgt,Operations,Construction Area,"2,500.00",0.00,0.00
15-0728-001,2/4/2016,F,3/24/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,385.00,0.00,385.00
15-0729-001,2/18/2016,F,5/24/2016,Pub Wks- Solid Waste Field Services Nort,Refuse/Garbage,Struck Fixed Object,,0.00,"1,192.76"
15-0730-001,9/4/2015,F,9/29/2016,Pub Wks-Sol Waste Disposl/Landfl/Transfe,Premises,Maint. Building/Premises,"75,006.43","20,000.00",0.00
15-0731-001,2/24/2016,F,3/25/2016,Library- Admin,Premises,Maint. Building/Premises,"1,128.39",0.00,"1,128.39"
15-0732-001,2/16/2016,F,3/30/2016,Police- S. Mountain Precinct 400,Law Enforcement,"Care, Custody, Control",750.00,0.00,0.00
15-0733-001,10/16/2015,F,4/4/2016,Street- North Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","3,695.00",0.00,0.00
15-0735-001,8/31/2015,F,3/3/2016,Street- Southeast Maint Dist,Operations,Missing/Hit Cover,800.00,0.00,0.00
15-0736-001,2/26/2016,F,4/12/2016,Street- Southwest Maint Dist,Operations,Missing/Hit Cover,"2,600.00",0.00,"2,688.84"
15-0737-001,2/24/2016,F,3/23/2016,Street- North Maint Dist,Operations,Water Main Break,400.00,0.00,328.38
15-0738-001,2/21/2016,F,5/9/2016,Library- Admin,Premises,Maint. Building/Premises,13.17,0.00,0.00
15-0739-001,12/24/2015,F,3/8/2016,Water Distrib - Cave Creek Yard,Operations,Damage to Property/Injury to Persons,"1,191.00",0.00,0.00
15-0740-001,2/23/2016,F,4/7/2016,Street- Central Maintenance Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,600.00",0.00,"1,600.00"
15-0741-001,9/8/2015,F,3/8/2016,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Police Vehicle,Rear End,"18,715.62",0.00,0.00
15-0742-001,1/13/2016,F,4/6/2016,Fire Battalion 5,Fire Apparatus,Lane Change/Pass,800.00,0.00,590.00
15-0742-002,1/13/2016,F,7/14/2016,Fire Battalion 5,Fire Apparatus,Lane Change/Pass,995.45,0.00,450.45
15-0743-001,11/17/2015,F,3/22/2016,Street- Southeast Maint Dist,Operations,Pot Hole,"2,453.68",0.00,0.00
15-0744-001,1/21/2016,F,3/24/2016,Police- Maryvale Precinct 800,Police Vehicle,Backing,"2,202.39",0.00,"2,294.79"
15-0745-001,10/22/2015,F,3/25/2016,Street- Southeast Maint Dist,Operations,Tar/Paint/Oil,"5,385.61",0.00,0.00
15-0746-001,2/13/2016,F,3/8/2016,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","1,707.96",0.00,0.00
15-0747-001,1/26/2016,F,5/19/2016,Street- Southeast Maint Dist,Medium/Heavy,Falling Load/Rock,"3,536.12",0.00,"3,962.41"
15-0748-001,9/23/2015,F,4/6/2016,Water Distrib - Reservoir Yard,Operations,Excavation Related,"3,099.77",0.00,0.00
15-0749-001,12/2/2015,F,3/16/2016,Housing-Convntl Housing/Modernizatn Prog,Light Truck,Rear End,"4,994.97",0.00,"4,994.97"
15-0749-002,5/17/2016,F,9/19/2016,Housing-Convntl Housing/Modernizatn Prog,Light Truck,Rear End,"50,000.00","8,000.00",0.00
15-0750-001,2/20/2016,F,3/30/2016,Street- North Maint Dist,Operations,Pot Hole,730.00,0.00,0.00
15-0751-001,2/10/2016,F,4/12/2016,Water Distrib - Corona Yard,Operations,Change Meter,250.00,0.00,250.00
15-0752-001,12/9/2015,F,3/15/2016,Transit-First Transit-West Facility,Bus 21-75,Rear End,"3,824.00",0.00,0.00
15-0756-001,2/25/2016,F,6/14/2016,Library- Admin,Premises,Maint. Building/Premises,"220,000.00",0.00,0.00
15-0757-001,3/4/2016,F,4/8/2016,Fire Battalion 8,Fire Apparatus,Turning,531.24,0.00,531.24
15-0760-001,1/20/2016,F,9/20/2016,Police- Maryvale Precinct 800,Police Vehicle,Police Pursuit,"3,476.33",0.00,"2,954.88"
15-0760-002,1/20/2016,F,2/24/2017,Police- Maryvale Precinct 800,Police Vehicle,Police Pursuit,"200,000.00","15,000.00",0.00
15-0760-003,1/20/2016,F,11/21/2016,Police- Maryvale Precinct 800,Police Vehicle,Failure to Yield,"50,000.00","14,000.00",0.00
15-0761-001,2/6/2016,F,4/4/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,987.23,0.00,0.00
15-0762-001,2/28/2016,F,3/29/2016,Street- North Maint Dist,Operations,Pot Hole,353.05,0.00,0.00
15-0764-001,3/12/2016,F,4/14/2016,Water Engineering & Construction Mgt,Operations,Pot Hole,400.00,0.00,180.00
15-0765-001,3/8/2016,F,3/30/2016,Wastewtr Engineering & Construction Mgt,Operations,Pot Hole,771.00,0.00,890.30
15-0766-001,3/4/2016,F,6/23/2016,Police- Maryvale Precinct 800,Light Truck,Turning,"10,031.29",0.00,"8,244.92"
15-0767-001,3/13/2016,F,5/25/2016,Water Engineering & Construction Mgt,Operations,Pot Hole,450.00,0.00,0.00
15-0767-002,3/13/2016,F,4/19/2016,Water Engineering & Construction Mgt,Operations,Pot Hole,"1,520.60",0.00,760.30
15-0767-003,3/13/2016,F,4/14/2016,Water Engineering & Construction Mgt,Operations,Pot Hole,"1,138.00",0.00,944.99
15-0767-004,3/13/2016,F,5/18/2016,Water Engineering & Construction Mgt,Operations,Pot Hole,"1,200.00",0.00,"1,706.75"
15-0767-005,3/13/2016,F,5/18/2016,Water Engineering & Construction Mgt,Operations,Pot Hole,400.00,0.00,377.86
15-0767-006,3/13/2016,F,5/6/2016,Street- Southwest Maint Dist,Operations,Pot Hole,300.00,0.00,255.88
15-0768-001,2/29/2016,F,3/30/2016,Street- Southwest Maint Dist,Medium/Heavy,Struck Fixed Object,"2,248.85",0.00,0.00
15-0769-001,9/2/2015,F,5/4/2016,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","5,330.98","2,745.00",110.98
15-0770-001,3/1/2016,F,4/1/2016,Water Distrib - Reservoir Yard,Operations,Construction Area,450.00,0.00,0.00
15-0771-001,1/5/2016,F,3/18/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,990.91,0.00,990.91
15-0772-001,3/16/2016,F,3/30/2016,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way",250.00,0.00,0.00
15-0773-001,2/28/2016,F,4/6/2016,Street- Central Maintenance Dist,Operations,Missing/Hit Cover,420.69,0.00,420.69
15-0774-001,3/9/2016,F,5/13/2016,Pub Wks- Solid Waste Field Services Sout,Refuse/Garbage,Struck Fixed Object,375.00,0.00,375.00
15-0775-001,10/20/2015,F,8/10/2016,Police- Cactus Park Precinct 900,Law Enforcement,Forced Entry,"1,930.00",0.00,"1,930.00"
15-0776-001,3/4/2016,F,5/11/2016,Police- Cactus Park Precinct 900,Law Enforcement,Damage to Property,"1,500.00",0.00,0.00
15-0777-001,2/29/2016,F,4/5/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,220.00,0.00,220.00
15-0779-001,2/17/2016,F,5/19/2016,Water Distrib - Corona Yard,Operations,Water Main Break,149.00,0.00,500.00
15-0780-001,2/26/2016,F,7/12/2016,Pub Wks- Solid Waste Field Services East,Operations,Damage by Mobile Equipment,"4,000.00",0.00,"1,176.00"
15-0781-001,12/23/2015,F,6/14/2016,Water Distrib - Corona Yard,Operations,Water Main Break,"2,640.00",0.00,0.00
15-0782-001,1/12/2016,R,5/14/2018,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","825,000.00","5,000.00",0.00
15-0783-001,9/24/2015,F,1/12/2017,Street- Southeast Maint Dist,Operations,"Maint. of St., Sidewalks, Rights-of-way","350,000.00",0.00,0.00
15-0784-001,3/18/2016,F,7/7/2016,Water Distrib - Reservoir Yard,Operations,Water Main Break,"20,000.00",0.00,"4,141.24"
15-0785-001,2/6/2016,F,4/5/2016,Water Distrib - Morten Yard,Operations,Water Main Break,337.00,0.00,0.00
15-0786-001,9/17/2015,F,3/24/2016,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Law Enforcement,Law Enforcement Misc,"750,000.00",0.00,0.00
15-0788-001,11/16/2015,F,4/27/2016,Aviation- Sky Harbor Airport/Terminals,Premises,Maint. Building/Premises,"1,721.81",0.00,0.00
15-0789-001,2/19/2016,F,3/24/2016,Street- North Maint Dist,Operations,Pot Hole,"2,399.10",0.00,0.00
15-0790-001,3/7/2016,F,10/24/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Failure to Yield,"6,440.00","3,500.00","3,428.17"
15-0791-001,10/17/2015,F,2/28/2018,Street- Southeast Maint Dist,Operations,Damage to Property/Injury to Persons,"1,000,000.00","350,000.00",0.00
15-0792-001,3/7/2016,F,3/23/2016,Human Svcs - Senior Svcs/Centers,Operations,"Care, Custody, Control",600.00,0.00,0.00
15-0793-001,3/11/2016,F,8/24/2016,Pub Wks- Solid Waste Field Services East,Refuse/Garbage,Struck Fixed Object,500.00,0.00,"1,407.23"
15-0794-001,11/23/2015,F,8/9/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Rear End,"20,000.00","5,000.00",754.49
15-0794-002,11/23/2015,F,7/6/2016,Police- Squaw Peak Precinct 700,Police Vehicle,Rear End,"9,342.80",0.00,"9,342.80"
15-0795-001,9/4/2015,O,,Police- Admin/Fiscal-Mgt Svcs/Prof Stds,Employment,Retaliation,,0.00,0.00
15-0796-001,2/25/2016,F,3/24/2016,Police-Tactcl/Air/SAU/Bomb/K-9/Dntown Op,Law Enforcement,Excessive Force,"1,995.00",0.00,0.00
